"UNU_Key","Country","Year","Value","Parameter","Description"
"0","NOR","2006",40.15,"EEE_KG_INH_EUROSTAT","eurostat"
"0","POL","2006",22.68,"EEE_KG_INH_EUROSTAT","eurostat"
"0","PRT","2006",11.7,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ROU","2006",6.64,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SVK","2006",9.58,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SVN","2006",13.57,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ESP","2006",11.54,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SWE","2006",24.95,"EEE_KG_INH_EUROSTAT","eurostat"
"0","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","AUT","2006",9.02,"EEE_KG_INH_EUROSTAT","eurostat"
"01","BEL","2006",7.39,"EEE_KG_INH_EUROSTAT","eurostat"
"01","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","CYP","2006",15.1,"EEE_KG_INH_EUROSTAT","eurostat"
"01","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","DNK","2006",16.18,"EEE_KG_INH_EUROSTAT","eurostat"
"01","EST","2006",7.48,"EEE_KG_INH_EUROSTAT","eurostat"
"01","FIN","2006",11.84,"EEE_KG_INH_EUROSTAT","eurostat"
"01","FRA","2006",12.3,"EEE_KG_INH_EUROSTAT","eurostat"
"01","DEU","2006",8.78,"EEE_KG_INH_EUROSTAT","eurostat"
"01","GRC","2006",10.67,"EEE_KG_INH_EUROSTAT","eurostat"
"01","HUN","2006",7.34,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LTU","2006",8.98,"EEE_KG_INH_EUROSTAT","eurostat"
"01","LUX","2006",8.17,"EEE_KG_INH_EUROSTAT","eurostat"
"01","MLT","2006",15.77,"EEE_KG_INH_EUROSTAT","eurostat"
"01","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","NOR","2006",15.41,"EEE_KG_INH_EUROSTAT","eurostat"
"01","POL","2006",11.2,"EEE_KG_INH_EUROSTAT","eurostat"
"01","PRT","2006",6.3,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ROU","2006",3.39,"EEE_KG_INH_EUROSTAT","eurostat"
"01","SVK","2006",5.02,"EEE_KG_INH_EUROSTAT","eurostat"
"01","SVN","2006",7.56,"EEE_KG_INH_EUROSTAT","eurostat"
"01","ESP","2006",7.36,"EEE_KG_INH_EUROSTAT","eurostat"
"01","SWE","2006",11.18,"EEE_KG_INH_EUROSTAT","eurostat"
"01","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","AUT","2006",1.68,"EEE_KG_INH_EUROSTAT","eurostat"
"02","BEL","2006",3.74,"EEE_KG_INH_EUROSTAT","eurostat"
"02","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","CYP","2006",1.34,"EEE_KG_INH_EUROSTAT","eurostat"
"02","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","DNK","2006",2.3,"EEE_KG_INH_EUROSTAT","eurostat"
"02","EST","2006",0.89,"EEE_KG_INH_EUROSTAT","eurostat"
"02","FIN","2006",1.33,"EEE_KG_INH_EUROSTAT","eurostat"
"02","FRA","2006",2.07,"EEE_KG_INH_EUROSTAT","eurostat"
"02","DEU","2006",1.75,"EEE_KG_INH_EUROSTAT","eurostat"
"02","GRC","2006",1.05,"EEE_KG_INH_EUROSTAT","eurostat"
"02","HUN","2006",1.33,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LTU","2006",0.74,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LUX","2006",1.41,"EEE_KG_INH_EUROSTAT","eurostat"
"02","MLT","2006",1.52,"EEE_KG_INH_EUROSTAT","eurostat"
"02","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","NOR","2006",2.97,"EEE_KG_INH_EUROSTAT","eurostat"
"02","POL","2006",1.43,"EEE_KG_INH_EUROSTAT","eurostat"
"02","PRT","2006",0.69,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ROU","2006",0.18,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SVK","2006",0.71,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SVN","2006",0.87,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ESP","2006",0.85,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SWE","2006",2.69,"EEE_KG_INH_EUROSTAT","eurostat"
"02","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","AUT","2006",3.25,"EEE_KG_INH_EUROSTAT","eurostat"
"03","BEL","2006",6.03,"EEE_KG_INH_EUROSTAT","eurostat"
"03","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","CYP","2006",0.62,"EEE_KG_INH_EUROSTAT","eurostat"
"03","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","DNK","2006",4.74,"EEE_KG_INH_EUROSTAT","eurostat"
"03","EST","2006",1.85,"EEE_KG_INH_EUROSTAT","eurostat"
"03","FIN","2006",3.48,"EEE_KG_INH_EUROSTAT","eurostat"
"03","FRA","2006",3.2,"EEE_KG_INH_EUROSTAT","eurostat"
"03","DEU","2006",3.82,"EEE_KG_INH_EUROSTAT","eurostat"
"03","GRC","2006",1.4,"EEE_KG_INH_EUROSTAT","eurostat"
"03","HUN","2006",1.09,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LTU","2006",1.68,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LUX","2006",2.53,"EEE_KG_INH_EUROSTAT","eurostat"
"03","MLT","2006",1.66,"EEE_KG_INH_EUROSTAT","eurostat"
"03","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","NOR","2006",6.73,"EEE_KG_INH_EUROSTAT","eurostat"
"03","POL","2006",3.23,"EEE_KG_INH_EUROSTAT","eurostat"
"03","PRT","2006",1.85,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ROU","2006",1.18,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SVK","2006",1.06,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SVN","2006",1.69,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ESP","2006",0.9,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SWE","2006",4.84,"EEE_KG_INH_EUROSTAT","eurostat"
"03","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","AUT","2006",3.2,"EEE_KG_INH_EUROSTAT","eurostat"
"04","BEL","2006",3.24,"EEE_KG_INH_EUROSTAT","eurostat"
"04","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","CYP","2006",0.15,"EEE_KG_INH_EUROSTAT","eurostat"
"04","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","DNK","2006",4.89,"EEE_KG_INH_EUROSTAT","eurostat"
"04","EST","2006",1.59,"EEE_KG_INH_EUROSTAT","eurostat"
"04","FIN","2006",3.69,"EEE_KG_INH_EUROSTAT","eurostat"
"04","FRA","2006",2.75,"EEE_KG_INH_EUROSTAT","eurostat"
"04","DEU","2006",4.05,"EEE_KG_INH_EUROSTAT","eurostat"
"04","GRC","2006",1.91,"EEE_KG_INH_EUROSTAT","eurostat"
"04","HUN","2006",2.38,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LTU","2006",2.17,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LUX","2006",2.76,"EEE_KG_INH_EUROSTAT","eurostat"
"04","MLT","2006",2.55,"EEE_KG_INH_EUROSTAT","eurostat"
"04","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","NOR","2006",5.48,"EEE_KG_INH_EUROSTAT","eurostat"
"04","POL","2006",2.66,"EEE_KG_INH_EUROSTAT","eurostat"
"04","PRT","2006",1.13,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ROU","2006",0.97,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SVK","2006",1.26,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SVN","2006",1.67,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ESP","2006",1.75,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SWE","2006",3.21,"EEE_KG_INH_EUROSTAT","eurostat"
"04","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","AUT","2006",0.13,"EEE_KG_INH_EUROSTAT","eurostat"
"05","BEL","2006",1.58,"EEE_KG_INH_EUROSTAT","eurostat"
"05","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","CYP","2006",0.32,"EEE_KG_INH_EUROSTAT","eurostat"
"05","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","DNK","2006",0.88,"EEE_KG_INH_EUROSTAT","eurostat"
"05","EST","2006",0.92,"EEE_KG_INH_EUROSTAT","eurostat"
"05","FIN","2006",2.13,"EEE_KG_INH_EUROSTAT","eurostat"
"05","FRA","2006",0.42,"EEE_KG_INH_EUROSTAT","eurostat"
"05","DEU","2006",1.1,"EEE_KG_INH_EUROSTAT","eurostat"
"05","GRC","2006",0.11,"EEE_KG_INH_EUROSTAT","eurostat"
"05","HUN","2006",0.49,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LTU","2006",0.57,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LUX","2006",0.65,"EEE_KG_INH_EUROSTAT","eurostat"
"05","MLT","2006",1.34,"EEE_KG_INH_EUROSTAT","eurostat"
"05","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","NOR","2006",3.93,"EEE_KG_INH_EUROSTAT","eurostat"
"05","POL","2006",1.72,"EEE_KG_INH_EUROSTAT","eurostat"
"05","PRT","2006",0.99,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ROU","2006",0.29,"EEE_KG_INH_EUROSTAT","eurostat"
"05","SVK","2006",0.61,"EEE_KG_INH_EUROSTAT","eurostat"
"05","SVN","2006",0.46,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ESP","2006",0.16,"EEE_KG_INH_EUROSTAT","eurostat"
"05","SWE","2006",1.8,"EEE_KG_INH_EUROSTAT","eurostat"
"05","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","AUT","2006",0.74,"EEE_KG_INH_EUROSTAT","eurostat"
"06","BEL","2006",1.01,"EEE_KG_INH_EUROSTAT","eurostat"
"06","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","CYP","2006",0.57,"EEE_KG_INH_EUROSTAT","eurostat"
"06","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","DNK","2006",1.69,"EEE_KG_INH_EUROSTAT","eurostat"
"06","EST","2006",0.63,"EEE_KG_INH_EUROSTAT","eurostat"
"06","FIN","2006",1.72,"EEE_KG_INH_EUROSTAT","eurostat"
"06","FRA","2006",1.38,"EEE_KG_INH_EUROSTAT","eurostat"
"06","DEU","2006",1.44,"EEE_KG_INH_EUROSTAT","eurostat"
"06","GRC","2006",0.27,"EEE_KG_INH_EUROSTAT","eurostat"
"06","HUN","2006",0.56,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LTU","2006",0.7,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LUX","2006",0.56,"EEE_KG_INH_EUROSTAT","eurostat"
"06","MLT","2006",0.92,"EEE_KG_INH_EUROSTAT","eurostat"
"06","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","NOR","2006",2.92,"EEE_KG_INH_EUROSTAT","eurostat"
"06","POL","2006",1.17,"EEE_KG_INH_EUROSTAT","eurostat"
"06","PRT","2006",0.24,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ROU","2006",0.49,"EEE_KG_INH_EUROSTAT","eurostat"
"06","SVK","2006",0.62,"EEE_KG_INH_EUROSTAT","eurostat"
"06","SVN","2006",0.74,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ESP","2006",0.2,"EEE_KG_INH_EUROSTAT","eurostat"
"06","SWE","2006",0.72,"EEE_KG_INH_EUROSTAT","eurostat"
"06","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","AUT","2006",0.28,"EEE_KG_INH_EUROSTAT","eurostat"
"07","BEL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","CYP","2006",0.14,"EEE_KG_INH_EUROSTAT","eurostat"
"07","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","DNK","2006",0.38,"EEE_KG_INH_EUROSTAT","eurostat"
"07","EST","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"07","FIN","2006",0.37,"EEE_KG_INH_EUROSTAT","eurostat"
"07","FRA","2006",0.59,"EEE_KG_INH_EUROSTAT","eurostat"
"07","DEU","2006",0.3,"EEE_KG_INH_EUROSTAT","eurostat"
"07","GRC","2006",0.08,"EEE_KG_INH_EUROSTAT","eurostat"
"07","HUN","2006",0.07,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LTU","2006",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LUX","2006",0.35,"EEE_KG_INH_EUROSTAT","eurostat"
"07","MLT","2006",0.33,"EEE_KG_INH_EUROSTAT","eurostat"
"07","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","NOR","2006",0.81,"EEE_KG_INH_EUROSTAT","eurostat"
"07","POL","2006",0.28,"EEE_KG_INH_EUROSTAT","eurostat"
"07","PRT","2006",0.2,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ROU","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"07","SVK","2006",0.09,"EEE_KG_INH_EUROSTAT","eurostat"
"07","SVN","2006",0.11,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ESP","2006",0.25,"EEE_KG_INH_EUROSTAT","eurostat"
"07","SWE","2006",0.17,"EEE_KG_INH_EUROSTAT","eurostat"
"07","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","AUT","2006",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"08","BEL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","CYP","2006",1.17,"EEE_KG_INH_EUROSTAT","eurostat"
"08","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","DNK","2006",0.32,"EEE_KG_INH_EUROSTAT","eurostat"
"08","EST","2006",0.03,"EEE_KG_INH_EUROSTAT","eurostat"
"08","FIN","2006",0.21,"EEE_KG_INH_EUROSTAT","eurostat"
"08","FRA","2006",0.12,"EEE_KG_INH_EUROSTAT","eurostat"
"08","DEU","2006",0.31,"EEE_KG_INH_EUROSTAT","eurostat"
"08","GRC","2006",0.06,"EEE_KG_INH_EUROSTAT","eurostat"
"08","HUN","2006",0.006,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LTU","2006",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LUX","2006",0.03,"EEE_KG_INH_EUROSTAT","eurostat"
"08","MLT","2006",0.14,"EEE_KG_INH_EUROSTAT","eurostat"
"08","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","NOR","2006",0.59,"EEE_KG_INH_EUROSTAT","eurostat"
"08","POL","2006",0.18,"EEE_KG_INH_EUROSTAT","eurostat"
"08","PRT","2006",0.07,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ROU","2006",0.003,"EEE_KG_INH_EUROSTAT","eurostat"
"08","SVK","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"08","SVN","2006",0.11,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ESP","2006",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"08","SWE","2006",0.14,"EEE_KG_INH_EUROSTAT","eurostat"
"08","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","AUT","2006",0.23,"EEE_KG_INH_EUROSTAT","eurostat"
"09","BEL","2006",0.34,"EEE_KG_INH_EUROSTAT","eurostat"
"09","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","CYP","2006",0.23,"EEE_KG_INH_EUROSTAT","eurostat"
"09","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","DNK","2006",0.23,"EEE_KG_INH_EUROSTAT","eurostat"
"09","EST","2006",0.006,"EEE_KG_INH_EUROSTAT","eurostat"
"09","FIN","2006",0.88,"EEE_KG_INH_EUROSTAT","eurostat"
"09","FRA","2006",0.15,"EEE_KG_INH_EUROSTAT","eurostat"
"09","DEU","2006",0.22,"EEE_KG_INH_EUROSTAT","eurostat"
"09","GRC","2006",0.13,"EEE_KG_INH_EUROSTAT","eurostat"
"09","HUN","2006",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LTU","2006",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LUX","2006",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"09","MLT","2006",0.24,"EEE_KG_INH_EUROSTAT","eurostat"
"09","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","NOR","2006",0.62,"EEE_KG_INH_EUROSTAT","eurostat"
"09","POL","2006",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"09","PRT","2006",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ROU","2006",0.08,"EEE_KG_INH_EUROSTAT","eurostat"
"09","SVK","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"09","SVN","2006",0.09,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ESP","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"09","SWE","2006",0.09,"EEE_KG_INH_EUROSTAT","eurostat"
"09","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","AUT","2006",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"10","BEL","2006",0.07,"EEE_KG_INH_EUROSTAT","eurostat"
"10","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","CYP","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","DNK","2006",0.06,"EEE_KG_INH_EUROSTAT","eurostat"
"10","EST","2006",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"10","FIN","2006",0.16,"EEE_KG_INH_EUROSTAT","eurostat"
"10","FRA","2006",0.17,"EEE_KG_INH_EUROSTAT","eurostat"
"10","DEU","2006",0.18,"EEE_KG_INH_EUROSTAT","eurostat"
"10","GRC","2006",0.09,"EEE_KG_INH_EUROSTAT","eurostat"
"10","HUN","2006",0.03,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LTU","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LUX","2006",0,"EEE_KG_INH_EUROSTAT","eurostat"
"10","MLT","2006",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"10","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","NOR","2006",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"10","POL","2006",0.07,"EEE_KG_INH_EUROSTAT","eurostat"
"10","PRT","2006",0.17,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ROU","2006",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"10","SVK","2006",0.03,"EEE_KG_INH_EUROSTAT","eurostat"
"10","SVN","2006",0.12,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ESP","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","SWE","2006",0.06,"EEE_KG_INH_EUROSTAT","eurostat"
"10","GBR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","AUT","2007",20.15,"EEE_KG_INH_EUROSTAT","eurostat"
"0","BEL","2007",25,"EEE_KG_INH_EUROSTAT","eurostat"
"0","BGR","2007",13.55,"EEE_KG_INH_EUROSTAT","eurostat"
"0","HRV","2007",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","CYP","2007",22.57,"EEE_KG_INH_EUROSTAT","eurostat"
"0","CZE","2007",19.61,"EEE_KG_INH_EUROSTAT","eurostat"
"0","DNK","2007",37.82,"EEE_KG_INH_EUROSTAT","eurostat"
"0","EST","2007",13.37,"EEE_KG_INH_EUROSTAT","eurostat"
"0","FIN","2007",31.14,"EEE_KG_INH_EUROSTAT","eurostat"
"0","FRA","2007",25.65,"EEE_KG_INH_EUROSTAT","eurostat"
"0","DEU","2007",19.59,"EEE_KG_INH_EUROSTAT","eurostat"
"0","GRC","2007",19.2,"EEE_KG_INH_EUROSTAT","eurostat"
"0","HUN","2007",12.96,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ISL","2007",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","IRL","2007",32.17,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ITA","2007",23.91,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LVA","2007",16.51,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LIE","2007",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LTU","2007",14.83,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LUX","2007",26.25,"EEE_KG_INH_EUROSTAT","eurostat"
"0","MLT","2007",23.21,"EEE_KG_INH_EUROSTAT","eurostat"
"0","NLD","2007",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","NOR","2007",44.18,"EEE_KG_INH_EUROSTAT","eurostat"
"0","POL","2007",14.59,"EEE_KG_INH_EUROSTAT","eurostat"
"0","PRT","2007",16.98,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ROU","2007",9,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SVK","2007",10.42,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SVN","2007",17.5,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ESP","2007",21.62,"EEE_KG_INH_EUROSTAT","eurostat"
"0","SWE","2007",31.23,"EEE_KG_INH_EUROSTAT","eurostat"
"0","GBR","2007",13.1,"EEE_KG_INH_EUROSTAT","eurostat"
"01","AUT","2007",9.36,"EEE_KG_INH_EUROSTAT","eurostat"
"01","BEL","2007",7.85,"EEE_KG_INH_EUROSTAT","eurostat"
"01","BGR","2007",0.91,"EEE_KG_INH_EUROSTAT","eurostat"
"01","HRV","2007",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"01","CYP","2007",16.66,"EEE_KG_INH_EUROSTAT","eurostat"
"01","CZE","2007",7.34,"EEE_KG_INH_EUROSTAT","eurostat"
"01","DNK","2007",20.2,"EEE_KG_INH_EUROSTAT","eurostat"
"01","EST","2007",7.44,"EEE_KG_INH_EUROSTAT","eurostat"
"01","FIN","2007",12.8,"EEE_KG_INH_EUROSTAT","eurostat"
"01","FRA","2007",13.12,"EEE_KG_INH_EUROSTAT","eurostat"
"01","DEU","2007",7.75,"EEE_KG_INH_EUROSTAT","eurostat"
